Price,Area,Location,City,No_of_Bedrooms,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,LandscapedGardens,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,Security,PowerBackup
66980,1675,Krishnarajapura,Bangalore,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
81000,718,Chikkagubbi on Hennur Main Road,Bangalore,2,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1
45000,1075,Kasavanahalli,Bangalore,2,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1
49280,1120,Varthur,Bangalore,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61000,1350,Vidyaranyapura,Bangalore,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
61510,1404,Electronic City Phase 2,Bangalore,2,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1
54260,1080,Begur,Bangalore,2,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1
130000,1800,J. P. Nagar,Bangalore,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48500,1060,K. Chudahalli,Bangalore,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
46040,1540,Narayanaghatta,Bangalore,3,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1
36070,1110,Anekal City,Bangalore,3,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1
165000,1645,Sahakar Nagar,Bangalore,3,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
48400,1345,Sarjapur,Bangalore,3,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1
258000,1866,Koramangala,Bangalore,3,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1
510000,3500,Hebbal,Bangalore,3,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1
48090,1145,Electronic City Phase 1,Bangalore,2,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1
50700,935,Budigere Cross,Bangalore,2,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1
105000,1455,Bommanahalli,Bangalore,3,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1
68500,1305,Uttarahalli Hobli,Bangalore,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
45800,1145,Varthur,Bangalore,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
55590,1635,Whitefield Hope Farm Junction,Bangalore,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
47230,1145,RR Nagar,Bangalore,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
44650,1175,Krishnarajapura,Bangalore,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89540,1216,Varthur,Bangalore,2,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
40000,1005,Electronics City,Bangalore,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54000,1200,Chikkalasandra,Bangalore,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87840,1279,Kogilu,Bangalore,2,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1
79000,1180,Nayandahalli,Bangalore,2,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
47810,1310,Electronic City Phase 2,Bangalore,3,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
150000,1776,Bilekahalli,Bangalore,3,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
47000,1125,Horamavu,Bangalore,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
77670,1195,Muneshwara Nagar,Bangalore,3,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1
64870,1272,Thanisandra,Bangalore,2,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
140000,2170,Junnasandra,Bangalore,3,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1
87580,1510,RR Nagar,Bangalore,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131000,1846,Narayanapura on Hennur Main Road,Bangalore,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
55000,1170,Kothanur,Bangalore,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49000,1215,Kadugodi Industrial Area,Bangalore,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45450,1045,Horamavu,Bangalore,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
87790,1245,Kannur on Thanisandra Main Road,Bangalore,2,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
220000,1833,ITPL,Bangalore,3,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1
53290,969,Sarjapur Road Wipro To Railway Crossing,Bangalore,2,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0
75000,1100,RMV Extension Stage 2,Bangalore,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37799.99,900,Kudlu,Bangalore,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
89540,1216,Varthur,Bangalore,2,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
90000,1306,Talaghattapura,Bangalore,2,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1
258000,1866,Koramangala,Bangalore,3,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1
89540,1216,Varthur,Bangalore,2,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
131000,1846,Narayanapura on Hennur Main Road,Bangalore,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
82180,1505,Electronic City Phase 2,Bangalore,3,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
86560,1502,Jakkur,Bangalore,3,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1
75200,1675,Doddanekundi,Bangalore,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
61480,1083,Kumbalgodu,Bangalore,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110000,1805,Begur,Bangalore,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113999.99,1880,Begur,Bangalore,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130000,2180,Begur,Bangalore,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112999.99,1850,Begur,Bangalore,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49000,1188,Kannur on Thanisandra Main Road,Bangalore,2,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0
50020,1215,Kannur on Thanisandra Main Road,Bangalore,2,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0
50360,1224,Kannur on Thanisandra Main Road,Bangalore,2,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0
67360,1350,Doddanekundi,Bangalore,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
82330,1650,Doddanekundi,Bangalore,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
67610,1355,Doddanekundi,Bangalore,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
66110,1325,Doddanekundi,Bangalore,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
62870,1260,Doddanekundi,Bangalore,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
64370,1290,Doddanekundi,Bangalore,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
61120,1225,Doddanekundi,Bangalore,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
64870,1300,Doddanekundi,Bangalore,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
94120,1247,Dasarahalli on Tumkur Road,Bangalore,2,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1
105000,1486,Dasarahalli on Tumkur Road,Bangalore,3,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1
102000,1433,Dasarahalli on Tumkur Road,Bangalore,3,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1
47220,1152,Kengeri,Bangalore,2,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
45860,1119,Kengeri,Bangalore,2,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
45820,1118,Kengeri,Bangalore,2,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
67870,1656,Kengeri,Bangalore,3,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
93190,1629,Horamavu,Bangalore,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
68920,1237,Horamavu,Bangalore,2,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
92770,1275,Bommanahalli,Bangalore,2,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1
116000,1615,Bommanahalli,Bangalore,3,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1
109000,1515,Bommanahalli,Bangalore,3,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1
105000,1455,Bommanahalli,Bangalore,3,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1
98590,1360,Bommanahalli,Bangalore,3,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1
69739.99,1409,Ramamurthy Nagar,Bangalore,3,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1
57050,1139,Ramamurthy Nagar,Bangalore,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1
57720,1154,Ramamurthy Nagar,Bangalore,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1
67209.99,1353,Ramamurthy Nagar,Bangalore,3,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1
67610,1362,Ramamurthy Nagar,Bangalore,3,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1
56770,1133,Ramamurthy Nagar,Bangalore,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1
53840,1068,Ramamurthy Nagar,Bangalore,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1
91410,1540,Whitefield Hope Farm Junction,Bangalore,3,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1
95220,1610,Whitefield Hope Farm Junction,Bangalore,3,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1
100000,1715,Whitefield Hope Farm Junction,Bangalore,3,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1
72110,1195,Whitefield Hope Farm Junction,Bangalore,2,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1
85140,1425,Whitefield Hope Farm Junction,Bangalore,3,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1
103000,1760,Whitefield Hope Farm Junction,Bangalore,3,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1
77830,1300,Whitefield Hope Farm Junction,Bangalore,2,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1
74290,1235,Whitefield Hope Farm Junction,Bangalore,2,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1
78099.99,1305,Whitefield Hope Farm Junction,Bangalore,2,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1
35060,660,Electronic City Phase 1,Bangalore,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
62500,1120,Electronic City Phase 1,Bangalore,2,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
62500,1120,Electronic City Phase 1,Bangalore,2,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
37979.99,715,Electronic City Phase 1,Bangalore,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
37979.99,715,Electronic City Phase 1,Bangalore,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
50340,910,Electronic City Phase 1,Bangalore,2,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
50340,910,Electronic City Phase 1,Bangalore,2,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
78970,1430,Electronic City Phase 1,Bangalore,3,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
78970,1430,Electronic City Phase 1,Bangalore,3,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
53270,965,Electronic City Phase 1,Bangalore,2,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
53270,965,Electronic City Phase 1,Bangalore,2,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
82690,1500,Electronic City Phase 1,Bangalore,3,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
82690,1500,Electronic City Phase 1,Bangalore,3,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
59580,1065,Electronic City Phase 1,Bangalore,2,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
59580,1065,Electronic City Phase 1,Bangalore,2,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
69000,1273,Yelahanka,Bangalore,2,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1
97000,1705,Yelahanka,Bangalore,3,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1
73000,1304,Yelahanka,Bangalore,2,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1
91800,1700,Anjanapura,Bangalore,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
69860,1277,Carmelaram,Bangalore,2,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
60810,1111,Carmelaram,Bangalore,2,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
78910,1443,Carmelaram,Bangalore,3,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
60700,1109,Carmelaram,Bangalore,2,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
59610,1089,Carmelaram,Bangalore,2,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
84420,1544,Carmelaram,Bangalore,3,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
90030,1647,Carmelaram,Bangalore,3,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
59230,1082,Carmelaram,Bangalore,2,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
61740,1128,Carmelaram,Bangalore,2,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
59940,1095,Carmelaram,Bangalore,2,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
81800,1496,Carmelaram,Bangalore,3,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
76620,1401,Carmelaram,Bangalore,3,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
87630,1538,Horamavu,Bangalore,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
89570,1573,Horamavu,Bangalore,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
65810,1181,Horamavu,Bangalore,2,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
96400,1687,Horamavu,Bangalore,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
66640,1196,Horamavu,Bangalore,2,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
66310,1190,Horamavu,Bangalore,2,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
100000,1766,Horamavu,Bangalore,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
98790,1730,Horamavu,Bangalore,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
85290,1532,Horamavu,Bangalore,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
72520,1305,Jalahalli,Bangalore,2,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
90370,1645,Jalahalli,Bangalore,3,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
72980,1315,Jalahalli,Bangalore,2,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
104000,1950,Jalahalli,Bangalore,3,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
95200,1750,Jalahalli,Bangalore,3,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
72290,1300,Jalahalli,Bangalore,2,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
98870,1830,Jalahalli,Bangalore,3,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
103000,1935,Jalahalli,Bangalore,3,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
71599.99,1285,Jalahalli,Bangalore,2,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
107000,2010,Jalahalli,Bangalore,3,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
89000,1615,Jalahalli,Bangalore,3,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
93820,1720,Jalahalli,Bangalore,3,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
73440,1325,Jalahalli,Bangalore,2,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
70910,1270,Jalahalli,Bangalore,2,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
62790,1320,Kasavanahalli,Bangalore,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
53060,1100,Kasavanahalli,Bangalore,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
66550,1405,Kasavanahalli,Bangalore,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
51950,1075,Kasavanahalli,Bangalore,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
54830,1140,Kasavanahalli,Bangalore,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
55270,1150,Kasavanahalli,Bangalore,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
64120,1350,Kasavanahalli,Bangalore,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
60360,1265,Kasavanahalli,Bangalore,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
49300,1015,Kasavanahalli,Bangalore,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
66110,1395,Kasavanahalli,Bangalore,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
51730,1070,Kasavanahalli,Bangalore,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
60580,1270,Kasavanahalli,Bangalore,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
